id,message,created_time,comments_count,shares_count,likes,love_count,haha_count,wow_count,sad_count,angry_count,status,comment
481065478629613_10154825150146364,亞泥在太魯閣挖礦挖了60年，原本礦權在昨天到期。但你知道嗎，經濟部在今年的3月14號，再頒給亞泥20年的礦權，從申請到通過，只花了3.5個月。就算修了礦業法，在修法前就「偷跑」通過的亞泥也不痛不癢。齊柏林過世前說「亞泥好像挖得更深了」。對，亞泥挖得更深了，還要再繼續挖到2037年......,2017/11/22,35,328,712,6,14,29,164,1153,F,
1.01548E+16,「本會期說好優先處理的礦業法，到今天為止也完全沒處理，新的礦業法不但沒有完成，行政院也不打算撤銷之前偷渡出去的礦權。」,2017/11/23,64,425,4322,2,27,40,381,1683,F,
,山也給財團，海也給財團，農地也給財團，現在連勞基法也修給財團。這?悲哀的台灣，連嘆氣完都不能好好深呼吸，因為空氣有夠糟,2017/11/23,6,0,124,0,0,0,20,6,F,T
1.20095E+15,"環保署長李應元廢採礦，有人很不尬意…
但李應元貼出觀音山、太魯閣照片並發文，
「即使是先人墳墓，為了青山綠水，也都遷移，
讓大地回歸大地」，霸氣展現保護太魯閣決心。
針對廢採礦，
國民黨立委、花蓮縣長 #傅崑萁 之妻徐榛蔚怒批，
環保署「急就章」、「無厘頭施政」，
質疑廢採礦影響上千家庭生計，水泥價格將暴漲。
不少網友幫李應元打氣表達支持，有人留言說，
「終於有環保署長了，加油」。
#徐榛蔚 #交互蹲跳 #台九線 #花蓮王
＃環保署 #李應元 #太魯閣 #國家公園 
#亞洲水泥 #徐旭東 #看見台灣 ",2017/5/26,35,95,976,24,24,0,0,5,F,
1.46946E+15,,2017/6/13,42,170,1414,7,546,22,8,187,F,
1.54409E+15,林淑芬,2017/6/11,22,0,829,5,1,7,132,152,F,
1.39785E+15,上個月，齊柏林　齊導百忙之中安排了一趟清水斷崖行程勘景，他說他想拍到海上的大型鯨，雖然我們都知道－那需要可遇不可求的運氣，但還好：清水大山，日出，三群鯨豚，沒讓他空手而回！,2017/6/10,156,3193,5440,26,7,117,3027,2064,F,
2.07129E+15,`,2017/11/25,36,64,786,13,230,24,9,199,F,
3.09877E+14,嘴巴上說愛台灣，但實際卻賤賣台灣國土..,2017/6/16,158,35,369,1,95,13,9,296,F,
4.91302E+14,直播?6/25「看見亞泥 搶救太魯閣」大遊行,2017/6/25,111,154,1226,37,2,4,3,10,F,
,你愛個鬼，愛錢罷了，一個賺飽飽的人，死前也不會做些好事，那個大洞不用養魚!你自己留著當墳墓，挖的夠深，盜墓的也不好盜，是吧！,2017/6/15,15,0,226,3,1,1,0,0,F,T
1.57369E+15,山都裂開了！齊柏林看見問題 挖礦「霸王條款」該不該廢？,2017/6/12,0,0,1195,6,8,25,178,178,F,
,山都裂開了！齊柏林看見問題 挖礦「霸王條款」該不該廢？,2017/6/13,118,364,734,4,1,17,99,306,F,
1231122403677630/,亞泥新竹礦場變天坑　廢墟山林「像火星」 當地居民說「整個公部門都是在為財團工作」,2017/6/14,62,41,334,5,22,12,6,258,F,
1.23006E+15,直播 受訪者： 地球公民基金會專員潘正正,2017/6/13,162,79,564,15,11,17,16,172,F,
1.56125E+15,許多民眾開始質疑禁飛背後動機...（推眼鏡）,2017/9/8,297,618,2623,7,100,353,41,2595,F,
,處長到工友，全體資遣太魯閣國家公園管理處的時機到了。資遣以後重新招考就是了，有本事有熱情的青年太多了，別留著那些不做事的老狗領乾薪！,2017/9/8,14,0,205,0,0,0,1,2,F,T
1.35399E+15,減礦區面積不等於減開採量?#且採礦是體積不是面積,2017/6/15,109,329,1958,7,8,43,12,463,F,
1.47432E+15,自己的家鄉自己保衛！,2017/6/17,65,197,2121,7,34,122,33,707,F,
1.47307E+15,編編似乎看到大家頭頂在冒煙了...,2017/6/16,296,403,1058,5,87,68,9,1605,F,
,閃辭就不用負法律責任嗎？官商勾結，難道就閃辭草草了事？難怪這麼多肥貓缺沒人管，政府各個機關應該都要有稽查機制，不然下一個倒楣的依舊是無辜的人民。,2017/6/16,7,0,118,0,1,1,0,0,F,T
,這是真的，我住關西亞泥礦場下方，白石下，他們的廢土石堆置場就有湖，我們鄰居的青年被淹死ㄧ個，一個有大好未來的年青人，我們村裡的良田也被淹沒無數，而且河床都變高了，每次下大雨，我們都非常害怕,2017/6/14,2,0,85,0,0,7,22,14,F,T
1.9175E+15,【採礦的大坑可以養魚，那龜裂的房屋、淹沒的農田怎麼辦？】,2017/6/15,5,233,987,3,2,23,257,317,F,
,?我從2002年到花蓮求學就業，10年間往返北迴鐵路和蘇花公路多次，每每看上去就覺得亞泥把山又挖了一痕，山越來越矮越來越小，你們現在扯什麼復育面積的，石灰岩礦挖掉了就是沒有了，看看高雄半屏山就知道。今天的問題不是在復育面積多寡，而是亞泥根本不該出現在那裡。,2017/6/12,2,0,355,5,0,0,0,0,F,T
,不需要復育，停止開採就好,2017/6/12,2,3,239,3,0,0,0,0,F,T
,你的話如果可以信，我把土都給吃了,2017/6/12,8,0,155,3,10,0,0,0,F,T
1.40558E+15,【亞泥造就的「世界奇觀」】,2017/6/21,42,176,1510,0,35,62,19,572,F,
,要亞泥關廠，無疑是痴人說夢話,2017/6/13,5,0,94,0,6,0,0,19,F,T
,把你頭殼切開還能當尿壺,2017/6/13,10,0,111,0,39,0,0,0,F,T
1.4002E+14,【撤銷亞泥非法展延，缺你不可】,2017/6/12,998,16034,40000,148,24,61,144,2341,F,
1.56012E+15,林淑芬,2017/6/24,15,44,630,10,1,0,2,42,F,
1.02078E+16,幹話王這位子最近好擠?,2017/6/27,356,200,1389,11,272,48,15,1187,F,
,環保署長李應元表示，明年將停止亞泥太魯閣開發，這不是針對個別企業，而是要告別過去無限經濟發展的思維,2016/5/25,73,55,1275,36,15,29,0,6,F,
1.20779E+15,爆笑！魔戒經典惡搞橋段 布袋戲神配音嗆亞泥,2017/6/26,1704,8721,12000,72,4302,133,24,11,F,
1.59398E+15,最後一句。中肯到不行,2017/6/26,2,0,241,0,28,0,0,0,F,T
,"台灣只有一個，留給後代一點希望
炸山養魚坍蘇花， 令人戰慄的亞泥真相",2017/6/17,1045,6411,16000,48,37,1063,977,11000,F,
4.9703E+14,只能說 這擺明有問題 官商勾結 貪汙 瀆職 甚至礦業局長自己私開小金庫 整格經濟度肯定都有吃到甜頭甚至到縣政府 中央政府都有 沒人敢碰 沒檢察官敢查 這個碰下去 一定會一大把 甚至會撼動到高層政府 國民黨的高層民進黨的高層都會扯出來 所以選擇不碰 人民又沒權力調查 這是台灣的無奈 不管選誰 說不做就是不做 你拿他沒轍 縱使是全民共識 一樣 不做就是不做 你奈他何,2017/6/17,32,0,509,0,1,2,8,61,F,T
,?齊柏林到底是不是他殺！,2017/6/17,93,0,511,1,0,27,29,4,F,T
,亞泥玉山礦場曾炸山開採！ 深洞積水成湖養魚？,2017/6/15,48,46,564,7,7,23,8,204,F,
1.57835E+15,#亞泥?#亞泥礦權?#林全?#礦業法?#齊柏林,2017/6/13,206,188,2514,64,133,30,7,57,F,
1.4694E+15,汝家澡盆雜配魚，魚肥果熟入我肚，你老娘來親下廚...,2017/6/28,118,14,289,0,85,5,3,227,F,
3.15566E+14,你是要養鯨魚喔？,2017/6/27,210,68,412,1,86,23,6,564,F,
1.4489E+15,依法無據，謝謝指教。,2017/6/13,92,68,618,3,20,57,17,344,F,
3.08355E+14,網友諷台灣「最醜圖騰」!!!,2017/6/20,77,58,458,4,14,28,76,506,F,
5.678E+14,太好了！！！ 　 #亞泥 #太魯閣 #環境 #原保地 ,2016/6/16,28,44,1993,64,58,8,1,2,F,
1.01548E+16,【亞泥礦場，炸毀的豈止一座山】,2017/6/8,13,343,811,0,1,24,163,508,F,
1.91422E+15,【難道討論熱度過了，我們也就跟著遺忘了嗎？】,2016/6/15,138,592,3740,14,10,62,517,1279,F,
1.02033E+16,亞泥今晚宣布自動縮減近4成礦區規模，主要縮減區域為鄰近國家公園一帶。,2017/6/14,243,65,791,4,82,29,5,528,F,
1.833E+15,村民們森７７囉......,2017/6/13,134,237,1543,5,272,33,13,611,F,
1.46935E+15,【#關鍵新聞】徐旭東說，希望各界要先了解向下挖深的用意，未來礦場還可以蓄水養魚。環保署副署長詹順貴受訪時表示，徐旭東根本不是跟其他人活在同一個時代......,2017/6/13,74,262,1408,3,164,34,17,713,F,
1.34811E+15,老丹,2017/6/13,48,1000,2432,4,98,44,59,1374,F,
1.59024E+15,苗,2017/6/27,34,91,1435,5,229,22,4,368,F,
1.40746E+15,這人的腦袋是不是有一個很深的錢坑？,2017/6/13,14,15,2957,10,141,8,1,11,F,
1.59142E+15,呃，4喔??,2017/6/13,655,442,1568,6,409,112,31,2018,F,
1.46897E+15,喔。所以要養紅鯉魚還綠鯉魚？,2017/6/27,87,31,237,9,64,17,5,453,F,
1.48447E+15,【喜歡養魚不妨開間水族館啊！】,2017/6/14,1025,268,2731,20,812,139,32,2622,F,
1.43636E+15,「亞泥黑布罩山頭的世界奇觀」,2017/6/20,79,24,432,3,31,48,14,255,F,
1.52866E+15,養魚？？？？,2017/6/13,485,192,640,4,260,46,8,827,F,
1.23003E+15,畫面看了好心痛，這跟人被割了一大塊肉是沒什麼兩樣的...這種魚池，太扯！,2017/6/19,119,142,580,5,12,31,108,606,F,
1.02073E+16,可是每次颱風來跟暴雨襲來時....,2017/6/13,317,64,607,5,144,27,5,810,F,
1.46908E+15,亞泥董事長徐旭東說話了：先了解向下挖深的用意，未來礦場還可以蓄水養魚,2017/6/13,795,186,982,23,649,96,21,1635,F,
1.53974E+15,同業打臉徐旭東：星國100%水泥都進口,2017/6/21,110,307,629,5,100,14,3,255,F,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,58.77778,,,,,,,,,,,
