id,message,created_time,comments_count,shares_count,likes,love_count,haha_count,wow_count,sad_count,angry_count,,
1.54224E+15,最狂的撒野老人說話了！大家快一邊吃太陽花一邊聽！,2017/8/20,752,102,1273,11,610,42,9,1394,,
1.13046E+15,「王八蛋」，柯市長罵得好，警察硬起來！閉幕若再出包，北市警察局長可以留嗎,2017/8/20,135,87,2037,5,47,8,1,126,,
https://www.facebook.com/FairGameTAIWAN/posts/1413159555468706,17席不好、16席也可討論！請問林署長，體育署是代表團體會員跟社會大眾的個人會員，在喬理事席次嗎？,2017/9/16,50,272,882,0,4,19,15,622,,
https://www.facebook.com/FairGameTAIWAN/posts/1381724961945499,上報：誰擋《國體法》修法，就是跟年輕世代作對！,2017/8/13,19,66,1096,24,1,4,1,1,,
https://www.facebook.com/EYECTVretina/posts/786965171491205,勞工說勞工自己想加班,2017/11/7,31,40,1118,5,129,18,19,447,,
https://www.facebook.com/watchout.tw/posts/836521193172762,#回顧 #國體法 協會不改革，選手該怎麼辦呢？,2017/8/28,31,87,644,0,58,14,18,425,,
https://www.facebook.com/FairGameTAIWAN/posts/1403372816447380,國體法過了，然後呢？未來改革路上又將遇到什麼挑戰？,2017/9/4,8,55,683,11,4,3,1,0,,
https://www.facebook.com/huangpeihung/photos/a.761399647306021.1073741830.761011520678167/1365296943582952/?type=3,國體法終於三讀了！飆淚?,2017/8/31,17,41,4189,137,3,3,22,0,,
https://www.facebook.com/ETtodaySPORTS/posts/1539992432705440,棒協、籃協成為指標,2017/9/2,27,4,1647,2,28,5,0,0,,
https://www.facebook.com/polymh/photos/a.639747722791379.1073741828.639740132792138/1140555779377235/?type=3,《國體法》三讀只是體育改革的第一步，「新版國體法」加「擺爛署長下台」才是最棒的禮物。,2017/8/31,49,33,842,23,1,4,1,27,,
https://www.facebook.com/photo.php?fbid=10214031860292571&set=a.1107416847635.2018343.1293224290&type=3,這次國體法修正可以順利通過，泳后丁聖祐是重要推手，她總是站在第一線勇敢為選手發聲！昨天問丁妹何時一起去尬蝶式，她居然說隨時......,2017/9/1,5,2,1175,21,57,3,0,0,,
https://www.facebook.com/YahooTWNews/posts/1623425751039718,總統特別對戴資穎說：「我要代表台灣說謝謝，謝謝你留下來」,2017/8/31,137,18,4332,114,41,2,4,8,,
https://www.facebook.com/fififans/videos/1569449883075958/,從過去在野時期，我們就一直在教育文化委員會推動國體法修法，一路走來不斷遇到障礙，就在昨天我們終於將國體法修法三讀通過。,2017/9/1,52,31,1281,16,3,0,1,5,,
https://www.facebook.com/ETtoday/posts/1594348703934621,拚三讀！！　（?螞妃）,2017/8/27,44,176,4205,58,40,3,0,5,,
https://www.facebook.com/watchout.tw/photos/a.276078935883660.1073741828.240170506141170/837907739700774/?type=3&permPage=1,#快訊?「國民體育法」三讀通過！,2017/8/31,86,424,2226,38,8,19,19,309,,
https://www.facebook.com/FairGameTAIWAN/videos/1281912961926700/,台灣要改革體育為何這麼難？來聽聽體育界前輩的「高見」你就懂！,2017/5/2,107,238,559,1,60,14,5,329,,
https://www.facebook.com/appledaily.tw/videos/1258466760946347/,請好好愛護選手，不管是忘記竿子還是逼球后穿不合腳的球鞋都很荒謬?#鄉編,2017/9/1,93,59,3979,89,55,8,0,3,,
https://www.facebook.com/cnanewstaiwan/posts/2064538400238296,#國體法?三讀了！,2017/8/31,9,26,652,9,17,1,0,0,,
https://www.facebook.com/EYECTVretina/posts/755205918000464,他是今天在羽球男單首次為台灣奪金的選手,2017/8/29,613,2161,15000,80,31,468,1987,6832,,
https://www.facebook.com/stormmedia/posts/841593069355738,蔡英文也在個人臉書發文表示，不能好好照顧選手的協會，我們就叫它改革，「不要懷疑政府改革決心」！,2017/8/31,230,173,3375,81,115,13,5,38,,
https://www.facebook.com/pcyeh.NTU/posts/2122782614414092,TMD，看完真的想罵髒話！,2017/9/15,12,55,865,0,1,23,13,263,,
https://www.facebook.com/udnplus/posts/913172355502206,莊吉生點出了台灣體壇的困境,2017/9/1,24,3,1260,18,6,1,0,1,,
https://www.facebook.com/sport.ltn.tw/posts/1258005590967406,最新消息！！「國體法」三讀通過,2017/8/31,74,33,1620,11,87,33,4,20,,
https://www.facebook.com/m.ltn.tw/posts/1553015814784079,大家蠢蠢欲動了嗎？（咦）,2017/8/31,22,18,739,20,57,3,1,3,,
https://www.facebook.com/udnplus/posts/910104162475692,葉丙成：「但如果不作，日後就請別再跟選手拍照沾光！」,2017/8/27,70,54,2544,11,56,24,2,16,,
https://www.facebook.com/watchout.tw/photos/a.586705598154324.1073741888.240170506141170/816877978470417/?type=3,#體育改革 泳協：我就讓你們通通不能參賽(個人賽)   體育署署長：我們會在網站上面設立申訴專區,2017/7/20,16,90,941,0,51,16,19,447,,
https://www.facebook.com/TheNewsLens/posts/1420481591354659,【#關鍵新聞】#快訊?立法院趕在最後一刻讓《國體法》三讀通過了，雖然還是維持「中華奧會」名稱，不過還是有四大體育改革如下：,2017/8/31,34,232,1255,24,6,8,20,7,,
,,,,,,,,,,,,
